,id,택정_50,택정_100,택정_200,택정_300,택정평균점수
260,26231,0,0,0,0,0.0
261,26230,0,0,0,0,0.0
262,26229,0,0,0,0,0.0
263,26228,0,0,0,0,0.0
264,26227,0,0,0,0,0.0
265,26226,0,0,0,0,0.0
266,26225,0,0,0,0,0.0
267,26224,0,0,0,0,0.0
268,26223,0,0,0,0,0.0
269,26222,0,0,0,0,0.0
270,26221,0,0,0,0,0.0
271,26220,0,0,0,0,0.0
272,26219,0,0,0,0,0.0
273,26218,0,0,0,0,0.0
274,26217,0,0,0,0,0.0
275,26216,0,0,0,0,0.0
276,26112,0,0,0,0,0.0
277,26111,0,0,0,0,0.0
278,26110,0,0,0,0,0.0
279,26109,0,0,0,0,0.0
280,26108,0,0,0,0,0.0
281,26107,0,0,0,0,0.0
282,26106,0,0,0,0,0.0
283,26105,0,0,0,0,0.0
284,26104,0,0,0,0,0.0
285,26103,0,0,0,0,0.0
286,26089,0,0,0,0,0.0
287,26088,0,0,0,0,0.0
288,26087,0,0,0,0,0.0
289,26086,0,0,0,0,0.0
290,26085,0,0,0,0,0.0
291,26084,0,0,0,0,0.0
292,26083,0,0,0,0,0.0
293,26082,0,0,0,0,0.0
294,26081,0,0,0,0,0.0
295,26080,0,0,0,0,0.0
296,26079,0,0,0,0,0.0
297,26078,0,0,0,0,0.0
298,26077,0,0,0,0,0.0
299,26076,0,0,0,0,0.0
300,26075,0,0,0,0,0.0
301,26074,0,0,0,0,0.0
302,26073,0,0,0,0,0.0
303,26072,0,0,0,0,0.0
304,26071,0,0,0,0,0.0
305,26070,0,0,0,0,0.0
306,26069,0,0,0,0,0.0
307,26068,0,0,0,0,0.0
308,26067,0,0,0,0,0.0
309,26066,0,0,0,0,0.0
310,26065,0,0,0,0,0.0
311,25961,0,0,0,0,0.0
312,25960,0,0,0,0,0.0
313,25959,0,0,0,0,0.0
314,25958,0,0,0,0,0.0
315,25957,0,0,0,0,0.0
316,25956,0,0,0,0,0.0
317,25955,0,0,0,0,0.0
318,25954,0,0,0,0,0.0
319,25953,0,0,0,0,0.0
320,25952,0,0,0,0,0.0
321,25951,0,0,0,0,0.0
322,25950,0,0,0,0,0.0
323,25939,0,0,0,0,0.0
324,25938,0,0,0,0,0.0
325,25937,0,0,0,0,0.0
326,25936,0,0,0,0,0.0
327,25935,0,0,0,0,0.0
328,25934,0,0,0,0,0.0
329,25933,0,0,0,0,0.0
330,25932,0,0,0,0,0.0
331,25931,0,0,0,0,0.0
332,25930,0,0,0,0,0.0
333,25929,0,0,0,0,0.0
334,25928,0,0,0,0,0.0
335,25927,0,0,0,0,0.0
336,25926,0,0,0,0,0.0
337,25925,0,0,0,0,0.0
338,25924,0,0,0,1,0.25
339,25923,0,0,2,1,0.75
340,25922,0,0,2,1,0.75
341,25921,0,0,2,1,0.75
342,25920,0,0,0,0,0.0
343,25919,0,0,0,0,0.0
344,25918,0,0,0,0,0.0
345,25917,0,0,0,0,0.0
346,25916,0,0,0,0,0.0
347,25915,0,0,0,0,0.0
348,25914,0,0,0,0,0.0
349,25811,0,0,0,0,0.0
350,25810,0,0,0,0,0.0
351,25809,0,0,0,0,0.0
352,25808,0,0,0,0,0.0
353,25807,0,0,0,0,0.0
354,25806,0,0,0,0,0.0
355,25805,0,0,0,0,0.0
356,25804,0,0,0,0,0.0
357,25803,0,0,0,0,0.0
358,25802,0,0,0,0,0.0
359,25801,0,0,0,0,0.0
360,25800,0,0,0,0,0.0
361,25799,0,0,0,0,0.0
362,25798,0,0,0,0,0.0
363,25788,0,0,0,0,0.0
364,25787,0,0,0,0,0.0
365,25786,0,0,0,0,0.0
366,25785,0,0,0,0,0.0
367,25784,0,0,0,0,0.0
368,25783,0,0,0,0,0.0
369,25782,0,0,0,0,0.0
370,25781,0,0,0,0,0.0
371,25780,0,0,0,0,0.0
372,25779,0,0,0,0,0.0
373,25778,0,0,0,0,0.0
374,25777,0,0,0,0,0.0
375,25776,0,0,0,0,0.0
376,25775,0,0,0,0,0.0
377,25774,0,0,0,0,0.0
378,25773,0,0,0,0,0.0
379,25772,0,0,0,1,0.25
380,25771,0,3,2,1,1.5
381,25770,4,3,2,1,2.5
382,25769,0,0,2,1,0.75
383,25768,0,0,0,0,0.0
384,25767,0,0,0,0,0.0
385,25766,0,0,0,0,0.0
386,25765,0,0,0,0,0.0
387,25764,0,0,0,0,0.0
388,25763,0,0,0,0,0.0
389,25762,0,0,0,0,0.0
390,25661,0,0,0,0,0.0
391,25660,0,0,0,0,0.0
392,25659,0,0,0,0,0.0
393,25658,0,0,0,0,0.0
394,25657,0,0,0,0,0.0
395,25656,0,0,0,0,0.0
396,25655,0,0,0,0,0.0
397,25654,0,0,0,0,0.0
398,25653,0,0,0,0,0.0
399,25652,0,0,0,0,0.0
400,25651,0,0,0,0,0.0
401,25650,0,0,0,0,0.0
402,25649,0,0,0,0,0.0
403,25648,0,0,0,0,0.0
404,25647,0,0,0,0,0.0
405,25646,0,0,0,0,0.0
406,25640,0,0,0,0,0.0
407,25639,0,0,0,0,0.0
408,25637,0,0,0,0,0.0
409,25636,0,0,0,0,0.0
410,25635,0,0,0,0,0.0
411,25634,0,0,0,0,0.0
412,25633,0,0,0,0,0.0
413,25632,0,0,0,0,0.0
414,25631,0,0,0,0,0.0
415,25630,0,0,0,0,0.0
416,25629,0,0,0,0,0.0
417,25628,0,0,0,0,0.0
418,25627,0,0,0,0,0.0
419,25626,0,0,0,0,0.0
420,25625,0,0,0,0,0.0
421,25624,0,0,0,1,0.25
422,25623,0,0,0,1,0.25
423,25622,0,0,0,1,0.25
424,25621,0,0,0,0,0.0
425,25620,0,0,0,1,0.25
426,25619,0,0,2,1,0.75
427,25618,0,3,2,1,1.5
428,25617,0,0,2,1,0.75
429,25616,0,0,0,0,0.0
430,25615,0,0,0,0,0.0
431,25614,0,0,0,0,0.0
432,25613,0,0,0,0,0.0
433,25612,0,0,0,0,0.0
434,25611,0,0,0,0,0.0
435,25511,0,0,0,0,0.0
436,25510,0,0,0,0,0.0
437,25509,0,0,0,0,0.0
438,25508,0,0,0,0,0.0
439,25507,0,0,0,0,0.0
440,25506,0,0,0,0,0.0
441,25505,0,0,0,0,0.0
442,25504,0,0,0,0,0.0
443,25503,0,0,0,0,0.0
444,25502,0,0,0,0,0.0
445,25501,0,0,0,0,0.0
446,25500,0,0,0,0,0.0
447,25499,0,0,0,0,0.0
448,25498,0,0,0,0,0.0
449,25497,0,0,0,0,0.0
450,25496,0,0,0,0,0.0
451,25495,0,0,0,0,0.0
452,25494,0,0,0,0,0.0
453,25489,0,0,0,0,0.0
454,25488,0,0,0,0,0.0
