gid,lon,lat
다사88ba65bb,127.3709774000,37.6923561400
다사73aa64aa,127.1952325000,37.6762595300
다사74bb68aa,127.2149396000,37.7123621700
다사66ab62bb,127.1187453000,37.6647703900
다사69aa63ba,127.1498937000,37.6716269800
다사67bb70ab,127.1354218000,37.7324229800
다사78ab61ba,127.2548420000,37.6538650200
다사71bb58ab,127.1812791000,37.6243955900
다사75ab71aa,127.2205108000,37.7394153900
다사87bb65bb,127.3624704000,37.6923465200
다사83aa69bb,127.3085003000,37.7283245600
다사76aa55aa,127.2295469000,37.5952223100
다사73aa72bb,127.1949093000,37.7551251000
다사87ab60ba,127.3568900000,37.6450195300
다사71ba62bb,127.1782711000,37.6649477700
다사71bb57bb,127.1812983000,37.6198889200
다사80ba61aa,127.2803629000,37.6494085900
다사75ba57aa,127.2238164000,37.6132360000
다사75bb72aa,127.2261524000,37.7484419000
다사75ab59ba,127.2208995000,37.6357627600
다사71ba57aa,127.1784945000,37.6131212300
다사72ab68ba,127.1865568000,37.7167967800
다사77ab61ba,127.2435054000,37.6538409100
다사73ba64aa,127.2009025000,37.6762740500
다사85ba55aa,127.3371612000,37.5954198400
다사75bb72ab,127.2261441000,37.7506951900
다사85aa54aa,127.3315176000,37.5863984000
다사76ba55ab,127.2352028000,37.5974885100
다사74aa55aa,127.2068914000,37.5951682200
다사70ab66ba,127.1639458000,37.6987078800
다사81bb60aa,127.2945578000,37.6404207300
다사86ab65ab,127.3454658000,37.6878187800
다사69ba62ab,127.1556154000,37.6603771100
다사74aa62aa,127.2066435000,37.6582617000
다사68ba60bb,127.1443423000,37.6468235800
다사85ab56ab,127.3343042000,37.6066827400
다사88bb62ab,127.3738664000,37.6608123900
다사73ab64ba,127.1980493000,37.6807734600
다사70bb67ba,127.1695775000,37.7077371200
다사86aa61ba,127.3427017000,37.6540148900
다사72ab59bb,127.1868884000,37.6379307600
다사84aa61ab,127.3200336000,37.6517291300
다사72ba73ba,127.1892050000,37.7618701300
다사72ba68ab,127.1894027000,37.7145509900
다사73aa67ba,127.1951034000,37.7078058900
다사73ba66aa,127.2008301000,37.6943005700
다사68ab62ba,127.1414326000,37.6625881900
다사70aa60ab,127.1613660000,37.6423669700
다사82ab59ab,127.3002432000,37.6336704100
다사80ba69bb,127.2801302000,37.7282750600
다사75aa54ba,127.2182361000,37.5906891000
다사67aa67bb,127.1270234000,37.7098635100
다사81aa67ba,127.2858626000,37.7080056500
다사83ab71aa,127.3113087000,37.7395957100
다사82aa46ba,127.2977209000,37.5187435400
다사83aa71aa,127.3084713000,37.7395911300
다사82aa46ab,127.2977270000,37.5164901400
다사72bb56ab,127.1926854000,37.6063989400
다사65bb62ba,127.1130879000,37.6624986300
다사76ba51ba,127.2353225000,37.5636880800
다사71ab62ba,127.1754464000,37.6626866900
다사75aa57bb,127.2181256000,37.6199826400
다사80ba59bb,127.2803961000,37.6381418600
다사76ba65ab,127.2348826000,37.6876220300
다사84aa67bb,127.3198920000,37.7103158700
다사81bb62bb,127.2944895000,37.6652075100
다사70bb62aa,127.1697974000,37.6581643200
다사77ba49ba,127.2467065000,37.5456859300
다사81aa47bb,127.2863725000,37.5299905700
다사73ba70bb,127.2006579000,37.7371133300
다사82ab48ab,127.3005080000,37.5345221000
다사66bb61ab,127.1244825000,37.6512687300
다사74ba68aa,127.2121032000,37.7123552800
다사83bb59bb,127.3172327000,37.6382046700
다사72aa59aa,127.1840835000,37.6311632100
다사82bb71aa,127.3056339000,37.7395864900
다사80bb49aa,127.2835105000,37.5412523500
다사85ab66ab,127.3341038000,37.6968167100
다사69bb65ab,127.1583258000,37.6874250700
다사83aa54aa,127.3088646000,37.5863638900
다사77bb61bb,127.2491661000,37.6561064400
다사81aa51bb,127.2862696000,37.5660446900
다사82bb57aa,127.3059628000,37.6133996600
다사70aa56bb,127.1615091000,37.6108203700
다사83ba52ab,127.3145669000,37.5705993000
다사81bb61ab,127.2945267000,37.6516874600
다사82aa65bb,127.2972505000,37.6922524200
다사76ab72bb,127.2318036000,37.7552148300
다사73ba71aa,127.2006489000,37.7393666200
다사73ab72ab,127.1977656000,37.7506258400
다사81bb59ab,127.2945764000,37.6336606800
다사73ba65ab,127.2008573000,37.6875406300
다사73ab56aa,127.1983592000,37.6041602100
다사73ba59ba,127.2010652000,37.6357141700
다사77aa50ab,127.2410230000,37.5524337800
다사75ba71aa,127.2233482000,37.7394220800
다사73ab70ba,127.1978298000,37.7348527900
다사72bb61ba,127.1924905000,37.6537189600
다사67bb71ab,127.1353775000,37.7414361000
다사81ba53bb,127.2918811000,37.5840817900
다사69bb55ba,127.1587281000,37.5995455300
다사82ba59ab,127.3030766000,37.6336751700
다사73ba66ab,127.2008211000,37.6965538800
다사82ba58ab,127.3031004000,37.6246617600
다사85ba66ba,127.3369347000,37.6990739900
다사72ba68ba,127.1893933000,37.7168042900
다사70ba60ab,127.1670335000,37.6423831000
다사88bb63ab,127.3738512000,37.6698257900
다사72ab60ab,127.1868695000,37.6424374200
다사85ba66bb,127.3369298000,37.7013273300
다사75aa68ba,127.2177589000,37.7168756100
다사82ba69bb,127.3028263000,37.7283152000
다사73aa55aa,127.1955637000,37.5951395500
다사84ba59ab,127.3257439000,37.6337108300
다사82bb69ab,127.3056751000,37.7238132800
다사88aa63bb,127.3653386000,37.6743230700
다사81aa58bb,127.2860891000,37.6291388700
다사69aa56bb,127.1501791000,37.6107873300
다사72bb73ab,127.1920526000,37.7596242900
다사77bb66ba,127.2490219000,37.6989196500
다사76bb55ba,127.2380269000,37.5997481800
다사74ab53ba,127.2097758000,37.5816551000
다사83aa68ba,127.3085293000,37.7170579600
다사70aa60ba,127.1613558000,37.6446202900
다사82bb61ba,127.3058573000,37.6539600100
다사74aa59ba,127.2067321000,37.6357284000
다사82ba69aa,127.3028442000,37.7215552500
다사79ab48ba,127.2665451000,37.5367132400
다사80ab48aa,127.2778774000,37.5322283000
다사80bb69bb,127.2829672000,37.7282803200
다사75bb53ab,127.2267726000,37.5794422800
다사66aa62bb,127.1159108000,37.6647611900
다사86aa62ba,127.3426827000,37.6630282800
다사83aa67aa,127.3085641000,37.7035380200
다사69bb63ba,127.1583982000,37.6716519200
다사79aa48ab,127.2637225000,37.5344542300
다사82bb59ba,127.3059042000,37.6359332200
다사88aa63ab,127.3653468000,37.6698163800
다사74aa56bb,127.2068295000,37.6109416600
다사80ab63aa,127.2774751000,37.6674299900
다사73bb70bb,127.2034953000,37.7371205000
다사74ab57aa,127.2096533000,37.6132020000
다사77aa62bb,127.2406320000,37.6651013800
다사77bb49bb,127.2495290000,37.5479453500
다사67ab69ba,127.1297811000,37.7256454500
다사71ba57ab,127.1784848000,37.6153745700
다사84aa69bb,127.3198484000,37.7283424500
다사74bb66aa,127.2150086000,37.6943356800
다사82ba57ba,127.3031182000,37.6179016900
다사71aa58ab,127.1727800000,37.6243723300
다사74ba56ab,127.2125119000,37.6064489000
다사82ab61ab,127.3001949000,37.6516972000
다사73ba59ab,127.2010742000,37.6334608400
다사77aa51ba,127.2409840000,37.5637006400
다사73ab54bb,127.1984047000,37.5928934700
다사65ba63ba,127.1102063000,37.6715025000
다사76bb60aa,127.2378845000,37.6403084300
다사81aa73bb,127.2857003000,37.7643384100
다사83bb52ab,127.3173980000,37.5706037200
다사84ab67aa,127.3227445000,37.7035601900
다사86aa61bb,127.3426970000,37.6562682400
다사65aa61aa,127.1046562000,37.6489506100
다사73ab71aa,127.1978115000,37.7393593800
다사71ba66ba,127.1781251000,37.6987474400
다사85aa65ba,127.3312833000,37.6900526900
다사85aa64ba,127.3313038000,37.6810393400
다사72ab60bb,127.1868506000,37.6469440700
다사80bb73bb,127.2828619000,37.7643332100
다사66aa63aa,127.1158992000,37.6670144900
다사82ba58ba,127.3030945000,37.6269151100
다사74aa60ab,127.2067056000,37.6424884000
다사82ba60ba,127.3030469000,37.6449419200
다사79bb62aa,127.2718333000,37.6584058100
다사79ba69aa,127.2688032000,37.7214934100
다사88bb63bb,127.3738435000,37.6743324800
다사85bb68aa,127.3397415000,37.7125978600
다사72ba66ab,127.1894780000,37.6965245500
다사69bb59ba,127.1585633000,37.6355988300
다사77ab61ab,127.2435131000,37.6515875800
다사83bb61aa,127.3172051000,37.6494714300
다사73ba65ba,127.2008482000,37.6897939400
다사80ba70bb,127.2801035000,37.7372883000
다사70ab62ab,127.1641186000,37.6604016300
다사70aa60aa,127.1613763000,37.6401136500
다사70aa67ab,127.1610792000,37.7054596700
다사82ba46ab,127.3033849000,37.5164996900
다사74bb57aa,127.2153185000,37.6132158100
다사72ab58bb,127.1869262000,37.6289174300
다사67aa60bb,127.1273391000,37.6467710900
다사72bb66ab,127.1923137000,37.6965319900
다사85bb67ab,127.3397561000,37.7058378700
다사71ba54ba,127.1785915000,37.5905878100
다사84bb68ab,127.3283906000,37.7148352100
다사70aa59ba,127.1613967000,37.6356070000
다사70aa65bb,127.1611407000,37.6919398600
다사74aa59aa,127.2067498000,37.6312217200
다사83aa71bb,127.3084539000,37.7463510600
다사83aa50bb,127.3089394000,37.5570700000
다사82aa71ab,127.2971154000,37.7418254500
다사80bb50ab,127.2834779000,37.5525192700
다사75bb52ab,127.2268055000,37.5704288300
다사84ba66ab,127.3255964000,37.6968044300
다사80ba71aa,127.2800969000,37.7395416100
다사77bb62ba,127.2491434000,37.6628664400
다사78bb58aa,127.2606116000,37.6223298400
다사74ab59bb,127.2095568000,37.6379887400
다사78ab61bb,127.2548346000,37.6561183500
다사79ba62bb,127.2689780000,37.6651603000
다사74bb55ba,127.2153700000,37.5996957200
다사83aa59ba,127.3087377000,37.6359378500
다사71ba67ab,127.1780959000,37.7055073500
다사66ba61bb,127.1216256000,37.6557662900
다사72ab56ab,127.1870207000,37.6063840500
다사68bb61aa,127.1471655000,37.6490854100
다사76bb56ab,127.2380032000,37.6065082400
다사76bb60ba,127.2378687000,37.6448151100
다사66aa67ba,127.1156899000,37.7075737900
다사65ab64ba,127.1073240000,37.6805062800
다사76aa58ab,127.2294408000,37.6245158500
다사65bb67ba,127.1128538000,37.7075645100
다사88aa62bb,127.3653549000,37.6653096900
다사74ab59ba,127.2095656000,37.6357354000
다사69ba55ba,127.1558960000,37.5995373000
다사86aa65aa,127.3426351000,37.6855616900
다사67aa62ab,127.1272715000,37.6602909500
다사81ab54aa,127.2890433000,37.5863301300
다사76ba53ba,127.2352587000,37.5817150000
다사69ab61ba,127.1528125000,37.6536088600
다사77ab65aa,127.2433968000,37.6853875200
다사83ab59bb,127.3115655000,37.6381957600
다사78bb48ba,127.2608856000,37.5367019200
다사68ba60ba,127.1443531000,37.6445702600
다사86ab59ab,127.3455779000,37.6337384500
다사72ab63ab,127.1867559000,37.6694773000
다사72aa69aa,127.1837011000,37.7212958100
다사80ba69aa,127.2801502000,37.7215151200
다사74aa66ab,127.2064927000,37.6965681300
다사82aa48ba,127.2976722000,37.5367706700
다사69bb62ba,127.1584395000,37.6626386700
다사86aa65ba,127.3426256000,37.6900683700
다사70ab56ab,127.1643619000,37.6063217800
다사65ba64ab,127.1101710000,37.6782623900
다사81bb51ab,127.2947745000,37.5615530100
다사71ba68aa,127.1780666000,37.7122672600
다사76aa55ba,127.2295306000,37.5997290200
다사67ba63aa,127.1329070000,37.6670686500
다사87ba60aa,127.3597323000,37.6405162200
다사78aa62aa,127.2519929000,37.6583657700
다사69aa57bb,127.1501369000,37.6198006500
다사81ba55ab,127.2918435000,37.5976019900
다사71ab68ba,127.1752106000,37.7167660700
다사85aa65bb,127.3312782000,37.6923060200
다사81bb46ab,127.2948980000,37.5164852600
다사73aa68bb,127.1950572000,37.7190724000
다사83ba65aa,127.3142812000,37.6855204500
다사85aa67ab,127.3312476000,37.7058260000
다사84ba68aa,127.3255594000,37.7125777300
다사77ab61bb,127.2434976000,37.6560942500
다사82aa69ba,127.2971584000,37.7260522600
다사87bb60ab,127.3625618000,37.6427729100
다사69bb66ba,127.1582741000,37.6986915800
다사73bb59ba,127.2038987000,37.6357213200
다사74bb68bb,127.2149137000,37.7191220900
다사85ab61bb,127.3341941000,37.6562565900
다사73aa61ab,127.1953338000,37.6514729900
다사70ab64bb,127.1640170000,37.6829347500
다사76bb61ab,127.2378450000,37.6515751200
다사82ba68bb,127.3028502000,37.7193019300
다사79aa66bb,127.2631942000,37.7012023000
다사73bb65ab,127.2036927000,37.6875477900
다사65bb61ba,127.1131347000,37.6534854100
다사73ba56ab,127.2011825000,37.6064207600
다사80aa58ba,127.2747629000,37.6268644300
다사81aa71aa,127.2857717000,37.7395520600
다사73ba65aa,127.2008663000,37.6852873100
다사82ab68ba,127.3000196000,37.7170438400
다사80ba61bb,127.2803430000,37.6561686100
다사74ba54ab,127.2125813000,37.5884220900
다사76bb65ba,127.2377102000,37.6898816900
다사70bb54ab,127.1701062000,37.5883110200
다사74ab67ba,127.2092844000,37.7078417000
다사78aa53ba,127.2522472000,37.5817518800
다사71ba60aa,127.1783780000,37.6401612200
다사72bb69bb,127.1921833000,37.7280782200
다사85ab55ba,127.3343192000,37.5999226400
다사77aa65aa,127.2405614000,37.6853813200
다사76bb52aa,127.2381374000,37.5682011300
다사83aa55ba,127.3088300000,37.5998841000
다사84bb68aa,127.3283958000,37.7125818900
다사66aa67ab,127.1157016000,37.7053205000
다사67bb64aa,127.1356976000,37.6760906600
다사71ab61aa,127.1755052000,37.6491667600
다사79ba61bb,127.2690059000,37.6561469600
