adr,ymd,chenap_count,amount_car,chenap_adr1,chenap_adr2,lng,lat
동대문구 답십리제2동 장안2동 경남호텔,2021-05-10,1,217050,동대문구,답십리로68길,127.070477,37.5698801
동대문구 답십리제2동 제기동 134-71,2021-05-11,1,133750,성동구,무학봉11가길,127.035303,37.5851852
동대문구 전농제1동 전농로38길41,2021-05-11,2,447480,마포구,독막로,127.0540314,37.58665691
서울 동대문구 천호대로 145,2021-05-11,4,668760,노원구,덕릉로119가길,127.0398966,37.57439172
동대문구 답십리제2동 장안동 194-44,2021-05-12,2,127200,하남시,신평로67번길,127.064634,37.5679643
동대문구 전농제2동,2021-05-13,2,55760,성북구,장월로17길,127.0600226,37.57804268
동대문구 전농제2동 장안동 442-8,2021-05-13,4,679170,중구,퇴계로90길,127.070001,37.5701957
동대문구 답십리제2동 장안동 445-15,2021-05-24,2,622380,동대문구,한천로14길,127.069091,37.564511
동대문구 전농제1동 안암로14길21,2021-05-24,3,224610,동대문구,신이문로24길,127.028712,37.580673
동대문구 답십리제2동,2021-05-26,2,350900,동대문구,천호대로91길,127.0612863,37.5673274
동대문구 전농제2동 장안2동 121-27,2021-05-26,2,179700,동대문구,답십리로63길,127.069181,37.5766112
동대문구 전농제2동 장안동 106-14,2021-05-26,2,454730,관악구,조원로31길,127.068968,37.5787918
동대문구 답십리제2동 장안1동 423-4,2021-05-26,2,333120,동대문구,장한로3길,127.06497,37.5637294
서울 동대문구 제기로5길 9,2021-05-31,3,645570,동대문구,제기로5길,127.0343445,37.58695404
동대문구 전농제1동 이문로1길8-11,2021-06-01,2,693330,성동구,마조로16길,127.053692,37.5890528
동대문구 답십리제2동 장한로16길 17,2021-06-01,2,333890,동대문구,천호대로,127.069421,37.5667723
동대문구 전농제1동 청량리,2021-06-01,5,1498750,안성시,금광면,127.047282,37.5862443
서울 동대문구 천호대로 145,2021-06-02,2,140380,동대문구,천호대로45길,127.0398966,37.57439172
동대문구 전농제2동 전농1동 547,2021-06-03,1,99100,강남구,학동로7길,127.05113,37.5841795
서울 동대문구 천호대로97길 9,2021-06-04,8,1897190,양천구,목동로3길,127.0699154,37.56136855
동대문구 답십리제2동 장안동 393-3,2021-06-04,4,721180,동대문구,답십리로66길,127.067125,37.5688008
동대문구 답십리제2동 청량리동 415-2,2021-06-07,1,124560,동대문구,홍릉로18길,127.043681,37.5861466
동대문구 답십리제2동 청량리동 234-20,2021-06-07,2,140080,동대문구,왕산로45길,127.046669,37.5846769
동대문구 답십리제2동 청량리동 홍릉로10길,2021-06-08,2,388560,동대문구,왕산로,127.04402,37.5846688
