학교종류명,설립구분,학교명,도로명주소
고등학교,사립,휘경여자고등학교,서울특별시 동대문구 한천로 247
고등학교,사립,환일고등학교,서울특별시 중구 환일길 47
고등학교,사립,화곡고등학교,서울특별시 강서구 강서로45길 69
고등학교,사립,홍익대학교사범대학부속여자고등학교,서울특별시 마포구 성미산로 51
고등학교,사립,홍익대학교사범대학부속고등학교,서울특별시 성북구 성북로14가길 23
고등학교,사립,혜원여자고등학교,서울특별시 중랑구 봉우재로58길 39
고등학교,사립,혜성여자고등학교,서울특별시 노원구 노원로16길 2
고등학교,사립,현대고등학교,서울특별시 강남구 압구정로 127
고등학교,사립,한영외국어고등학교,서울특별시 강동구 동남로 832
고등학교,사립,한영고등학교,서울특별시 강동구 동남로 832
고등학교,사립,한성여자고등학교,서울특별시 성북구 삼선교로16길 117
고등학교,사립,한성고등학교,서울특별시 서대문구 북아현로1길 24
고등학교,사립,한서고등학교,서울특별시 강서구 양천로11길 47
고등학교,사립,한국삼육고등학교,서울특별시 노원구 화랑로 815
고등학교,사립,한광고등학교,서울특별시 강서구 등촌로13길 110
고등학교,사립,한가람고등학교,서울특별시 양천구 목동서로 15
고등학교,사립,충암고등학교,서울특별시 은평구 가좌로5길 5
고등학교,사립,청원고등학교,서울특별시 노원구 한글비석로 506
고등학교,사립,창문여자고등학교,서울특별시 강북구 월계로 61
고등학교,사립,진선여자고등학교,서울특별시 강남구 선릉로85길 27
고등학교,사립,진명여자고등학교,서울특별시 양천구 목동로 170
고등학교,사립,중앙여자고등학교,서울특별시 서대문구 북아현로11가길 7
고등학교,사립,중앙대학교사범대학부속고등학교,서울특별시 강남구 선릉로 207
고등학교,사립,중앙고등학교,서울특별시 종로구 창덕궁길 164
고등학교,사립,중산고등학교,서울특별시 강남구 일원로14길 22
고등학교,사립,중동고등학교,서울특별시 강남구 일원로 7
고등학교,사립,정의여자고등학교,서울특별시 도봉구 노해로49길 69
고등학교,사립,정신여자고등학교,서울특별시 송파구 올림픽로4길 16
고등학교,사립,재현고등학교,서울특별시 노원구 덕릉로82길 64
고등학교,사립,장훈고등학교,서울특별시 영등포구 영등포로64길 26
고등학교,사립,장충고등학교,서울특별시 중구 동호로15길 93
고등학교,사립,잠실여자고등학교,서울특별시 송파구 송파대로38길 8
