"id","nm","adr","x","y","park_lot"
1455,"이현빌","서울특별시 동대문구 용두동 39-709번지",127.0407096,37.57546705,2
1456,"","서울특별시 동대문구 용두동 39-710번지",127.040666,37.57537336,2
1457,"가온빌리지","서울특별시 동대문구 용두동 39-713번지",127.0405372,37.57509653,2
1458,"경진빌딩","서울특별시 동대문구 용두동 39-714번지",127.0404774,37.57496825,6
1459,"용두동 다세대주택","서울특별시 동대문구 용두동 39-718번지",127.0404777,37.57532468,4
1460,"제스트하우스","서울특별시 동대문구 용두동 39-719번지",127.0405211,37.57541738,2
1461,"리더스빌","서울특별시 동대문구 용두동 39-724번지",127.0402777,37.57538223,2
1462,"","서울특별시 동대문구 용두동 39-727번지",127.0401501,37.5751127,2
1463,"관일빌딩","서울특별시 동대문구 용두동 39-728번지",127.0399718,37.57512348,3
1464,"우노하우스","서울특별시 동대문구 용두동 39-729번지",127.0400242,37.57524816,3
1465,"","서울특별시 동대문구 용두동 39-732번지",127.0401628,37.57552093,2
1466,"","서울특별시 동대문구 용두동 39-735번지",127.0406438,37.57453526,2
1467,"","서울특별시 동대문구 용두동 39-736번지",127.0406013,37.57444346,2
1468,"메트로캐슬","서울특별시 동대문구 용두동 39-737번지",127.0405585,37.57435194,2
1469,"더존팰리스","서울특별시 동대문구 용두동 39-739번지",127.0404507,37.57412078,8
1470,"","서울특별시 동대문구 용두동 39-740번지",127.040307,37.57416363,5
1471,"","서울특별시 동대문구 용두동 39-746번지",127.0410253,37.57442052,2
1472,"","서울특별시 동대문구 용두동 39-747번지",127.0409819,37.57432764,1
1473,"","서울특별시 동대문구 용두동 39-750번지",127.0408552,37.57405532,1
1474,"","서울특별시 동대문구 용두동 39-752번지",127.0407768,37.57423131,8
1475,"","서울특별시 동대문구 용두동 39-754번지",127.0408415,37.57437058,6
1476,"","서울특별시 동대문구 용두동 39-755번지",127.0408843,37.5744631,2
1477,"","서울특별시 동대문구 용두동 39-761번지",127.0411463,37.57391232,9
1478,"","서울특별시 동대문구 용두동 39-762번지",127.0410048,37.57395408,7
1479,"밤비하우스","서울특별시 동대문구 용두동 39-763번지",127.041069,37.57409137,2
1480,"","서울특별시 동대문구 용두동 39-770번지",127.0416157,37.57402982,2
1481,"","서울특별시 동대문구 용두동 39-773번지",127.0413984,37.57389881,1
1482,"모두가","서울특별시 동대문구 용두동 39-774번지",127.0414383,37.57398015,9
1483,"","서울특별시 동대문구 용두동 39-776번지",127.0415266,37.57416248,1
1484,"","서울특별시 동대문구 용두동 39-778번지",127.0416474,37.57441481,2
1485,"상아빌","서울특별시 동대문구 용두동 39-784번지",127.0419543,37.57432235,3
1486,"예원캐슬","서울특별시 동대문구 용두동 39-803번지",127.041279,37.57364197,6
1487,"","서울특별시 동대문구 용두동 39-805번지",127.0408312,37.57357645,5
1488,"","서울특별시 동대문구 용두동 39-808번지",127.0407304,37.57380569,7
1489,"아르떼","서울특별시 동대문구 용두동 39-811번지",127.0405882,37.57384701,8
1490,"GNF TOWER","서울특별시 동대문구 용두동 39-812번지",127.0402506,37.57374495,4
1491,"","서울특별시 동대문구 용두동 39-844번지",127.0423706,37.57444347,1
1492,"에덴하우스3차","서울특별시 동대문구 용두동 39-845번지",127.0424065,37.5745195,1
1493,"모두가","서울특별시 동대문구 용두동 39-860번지",127.0421626,37.57373672,10
1494,"천우네오젠","서울특별시 동대문구 용두동 39-868번지",127.0421526,37.57399206,10
1495,"","서울특별시 동대문구 용두동 39-871번지",127.0422661,37.57422511,4
1496,"","서울특별시 동대문구 용두동 39-87번지",127.041256,37.57618999,2
1497,"로얄팰리스","서울특별시 동대문구 용두동 39-881번지",127.0418429,37.57408759,10
1498,"피렌체빌","서울특별시 동대문구 용두동 39-897번지",127.0412366,37.57445297,1
1499,"","서울특별시 동대문구 용두동 39-907번지",127.040672,37.57400393,2
1500,"","서울특별시 동대문구 용두동 39-91번지",127.0420925,37.57593039,3
1501,"코지밸리","서울특별시 동대문구 용두동 39-92번지",127.0419114,37.57589072,8
1502,"대웅빌딩","서울특별시 동대문구 용두동 39-941번지",127.0395178,37.57547349,7
1503,"프라임빌","서울특별시 동대문구 용두동 39-943번지",127.0398427,37.5755478,2
1504,"","서울특별시 동대문구 용두동 39-944번지",127.0398594,37.57579106,4
1505,"영신","서울특별시 동대문구 용두동 39-945번지",127.0395333,37.57569531,3
1506,"루센트빌","서울특별시 동대문구 용두동 39-948번지",127.039658,37.57568959,2
1507,"","서울특별시 동대문구 용두동 39-949번지",127.0396661,37.57580672,3
1508,"","서울특별시 동대문구 용두동 39-951번지",127.039507,37.5752277,4
1509,"용두동 39-955 제2종근린생활시설 (전성숙)","서울특별시 동대문구 용두동 39-955번지",127.0398276,37.57529048,4
1510,"","서울특별시 동대문구 용두동 39-958번지",127.0398617,37.57566429,2
1511,"","서울특별시 동대문구 용두동 39-959번지",127.040017,37.57566262,2
1512,"","서울특별시 동대문구 용두동 39-966번지",127.0410664,37.57703159,3
1513,"","서울특별시 동대문구 용두동 39-968번지",127.0396341,37.57523297,4
1514,"","서울특별시 동대문구 용두동 39-972번지",127.0396284,37.57656924,2
1515,"","서울특별시 동대문구 용두동 39-973번지",127.0397106,37.57645019,3
1516,"","서울특별시 동대문구 용두동 39-974번지",127.0395914,37.57641464,4
1517,"용두동근.생및주택","서울특별시 동대문구 용두동 39-975번지",127.039582,37.57627706,4
1518,"","서울특별시 동대문구 용두동 39-976번지",127.0396769,37.57625496,2
1519,"","서울특별시 동대문구 용두동 39-977번지",127.0395984,37.57611677,3
1520,"","서울특별시 동대문구 용두동 39-984번지",127.0433926,37.57629573,1
1521,"","서울특별시 동대문구 용두동 39-988번지",127.0404331,37.57678863,4
1522,"동양프라자","서울특별시 동대문구 용두동 40-13번지",127.0375982,37.57535626,54
1523,"에이플러스빌","서울특별시 동대문구 용두동 40-35번지",127.0377051,37.57504449,30
1524,"","서울특별시 동대문구 용두동 40-3번지",127.0379184,37.57641834,6
1525,"","서울특별시 동대문구 용두동 40-8번지",127.0377501,37.57569202,4
1526,"","서울특별시 동대문구 용두동 45-1번지",127.0379877,37.57738194,22
1527,"","서울특별시 동대문구 용두동 45-7번지",127.0377221,37.5769536,6
1528,"용신지구대","서울특별시 동대문구 용두동 696-10번지",127.0372305,37.57284297,4
1529,"에스타워","서울특별시 동대문구 용두동 696-7번지",127.0362719,37.57270857,2
1530,"","서울특별시 동대문구 용두동 718-2번지",127.0260889,37.5800494,6
1531,"","서울특별시 동대문구 용두동 722-1번지",127.025816,37.57982124,7
1532,"","서울특별시 동대문구 용두동 722-2번지",127.0256685,37.57977487,1
1533,"","서울특별시 동대문구 용두동 722-3번지",127.0255592,37.57969939,3
1534,"","서울특별시 동대문구 용두동 722-4번지",127.0254493,37.57962509,2
1535,"","서울특별시 동대문구 용두동 722-6번지",127.0252297,37.5794753,3
1536,"","서울특별시 동대문구 용두동 722-7번지",127.0251202,37.57940144,4
1537,"","서울특별시 동대문구 용두동 723-2번지",127.0259574,37.57968633,2
1538,"","서울특별시 동대문구 용두동 723-3번지",127.0258353,37.57966104,2
1539,"연희빌","서울특별시 동대문구 용두동 723-5번지",127.0257483,37.57960123,5
1540,"","서울특별시 동대문구 용두동 723-6번지",127.0256452,37.5795308,5
1541,"해세빌딩","서울특별시 동대문구 용두동 723-7번지",127.0255226,37.57944676,8
1542,"","서울특별시 동대문구 용두동 723-8번지",127.0254153,37.57937453,3
1543,"","서울특별시 동대문구 용두동 724-1번지",127.025649,37.57916698,4
1544,"안암빌딩 1동","서울특별시 동대문구 용두동 726-10번지",127.0293511,37.58192325,46
