순번,대지위치,시군구코드,법정동코드,관리건축물대장PK,도로명대지위치,건물명,주용도코드,옥내기계식대수(대),옥외기계식대수(대),옥내자주식대수(대),옥외자주식대수(대),총주차면수,위치별선택,X,Y
15496,서울특별시 동대문구 장안동 191-22번지,11230,10600,11230-34181,서울특별시 동대문구 한천로14길 17-21,,1000,0,0,0,1,1,1,127.0642518,37.56809905
15497,서울특별시 동대문구 장안동 191-23번지,11230,10600,11230-20601,서울특별시 동대문구 한천로14길 17-19,,1000,0,0,0,1,1,1,127.0642012,37.56802475
15504,서울특별시 동대문구 장안동 191-2번지,11230,10600,11230-11066,서울특별시 동대문구 답십리로64길 120,,1000,0,0,0,5,5,1,127.0644371,37.567932
15508,서울특별시 동대문구 장안동 191-4번지,11230,10600,11230-100194767,서울특별시 동대문구 답십리로64길 128,,1000,0,0,2,3,5,1,127.0642693,37.56766909
15517,서울특별시 동대문구 장안동 192-14번지,11230,10600,11230-100201165,서울특별시 동대문구 한천로10길 41,,1000,0,0,0,1,1,1,127.0630456,37.56649026
15523,서울특별시 동대문구 장안동 192-20번지,11230,10600,11230-28288,서울특별시 동대문구 한천로14길 18,,3000,0,0,0,2,2,1,127.0636137,37.56710578
15528,서울특별시 동대문구 장안동 192-26번지,11230,10600,11230-29065,서울특별시 동대문구 한천로14길 16-10,,1000,0,2,0,2,4,1,127.0631658,37.56683041
15530,서울특별시 동대문구 장안동 192-2번지,11230,10600,11230-22302,서울특별시 동대문구 한천로14길 22,,3000,0,0,0,6,6,1,127.0637704,37.56704948
15531,서울특별시 동대문구 장안동 192-30번지,11230,10600,11230-100238412,서울특별시 동대문구 한천로14길 12,,4000,0,0,3,0,3,1,127.0633017,37.56717857
15537,서울특별시 동대문구 장안동 192-37번지,11230,10600,11230-100205384,서울특별시 동대문구 한천로 58-2,카사준예준(casa Jun e Jun,4000,0,0,0,4,4,1,127.0626559,37.56670418
15539,서울특별시 동대문구 장안동 192-39번지,11230,10600,11230-20970,서울특별시 동대문구 한천로14길 14-14,,1000,0,0,0,2,2,1,127.0628889,37.56670469
15542,서울특별시 동대문구 장안동 192-73번지,11230,10600,11230-23628,서울특별시 동대문구 한천로 62,화성빌딩,4000,32,0,0,0,32,1,127.0627568,37.56719598
15543,서울특별시 동대문구 장안동 192-75번지,11230,10600,11230-15924,서울특별시 동대문구 한천로 60,성덕의원재활치료센터,3000,0,0,0,8,8,1,127.0625485,37.56696508
15544,서울특별시 동대문구 장안동 192-82번지,11230,10600,11230-14552,서울특별시 동대문구 한천로14길 14-13,,1000,0,0,0,2,2,1,127.0629821,37.56660517
15546,서울특별시 동대문구 장안동 194-12번지,11230,10600,11230-19490,서울특별시 동대문구 답십리로66길 136,,4000,0,0,0,7,7,1,127.0646317,37.56722056
15548,서울특별시 동대문구 장안동 194-16번지,11230,10600,11230-2782,서울특별시 동대문구 한천로14길 29-6,,1000,0,0,2,1,3,1,127.0646071,37.5673058
15553,서울특별시 동대문구 장안동 194-21번지,11230,10600,11230-28575,서울특별시 동대문구 한천로14길 29-17,,1000,0,0,0,1,1,1,127.0648007,37.56774845
15559,서울특별시 동대문구 장안동 194-27번지,11230,10600,11230-19443,서울특별시 동대문구 한천로14길 29-5,,1000,0,0,0,1,1,1,127.0644394,37.56733284
15560,서울특별시 동대문구 장안동 194-28번지,11230,10600,11230-16547,서울특별시 동대문구 답십리로64길 135,민준빌딩,4000,0,0,0,7,7,1,127.0643053,37.56724903
