gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관,교통량,경제인구,sum,순위
다사83bb60aa,0,127.3172271,37.64045803,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba73bb,0,127.3140842,37.76438661,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb60ab,0,127.3172216,37.64271138,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba73ba,0,127.3140898,37.7621333,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba73aa,0,127.3141011,37.75762669,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba61aa,0,127.314371,37.649467,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba62bb,0,127.3143318,37.66524041,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba63aa,0,127.3143261,37.66749375,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba63ab,0,127.3143205,37.66974709,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba63bb,0,127.3143093,37.67425377,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba64aa,0,127.3143037,37.67650711,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba64ab,0,127.3142981,37.67876045,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba64ba,0,127.3142925,37.68101378,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba64bb,0,127.3142868,37.68326712,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba65bb,0,127.3142644,37.69228045,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba66aa,0,127.3142587,37.69453378,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba66ab,0,127.3142531,37.69678711,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba66ba,0,127.3142475,37.69904044,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba67ab,0,127.3142306,37.70580042,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba67ba,0,127.314225,37.70805375,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba67bb,0,127.3142194,37.71030707,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba68aa,0,127.3142138,37.7125604,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba68ab,0,127.3142081,37.71481372,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba69ba,0,127.31418,37.72608032,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,0.0,0.0,1484
다사83ba70aa,0,127.3141687,37.73058696,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba70ab,0,127.3141631,37.73284027,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba70ba,0,127.3141575,37.73509359,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba70bb,0,127.3141518,37.7373469,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba71aa,0,127.3141462,37.73960021,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba71ab,0,127.3141406,37.74185353,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba71ba,0,127.3141349,37.74410684,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba71bb,0,127.3141293,37.74636015,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba72aa,0,127.3141237,37.74861346,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba72ab,0,127.314118,37.75086677,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83ba73ab,0,127.3140955,37.75988,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb60ba,0,127.3172161,37.64496473,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb62bb,0,127.3171664,37.66524484,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb63aa,0,127.3171608,37.66749818,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa53ab,0,127.3202073,37.57962157,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa53ba,0,127.3202019,37.58187494,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
